Open,Close,High,Low,Volume,MA5_Close,MA9_Close,MA21_Close,MA30_Close,Close_Prev_Close_Percentage,Open_Prev_Close_Percentage,High_Prev_Close_Percentage,Low_Prev_Close_Percentage,MA5_Close_Prev_Close_Percentage,MA9_Close_Prev_Close_Percentage,MA21_Close_Prev_Close_Percentage,Close_Open_Prev_Close_Percentage,High_Low_Prev_Close_Percentage,Close_Trend_5,Close_Trend_10,Close_Trend_15,Close_Trend_30,Time_Section_Index,Day,rsi_24,rsi_12,tsi,stoch,stoch_sig,roc,ao,aroon_indicator,trix,vortex_diff,psar_up,psar_down,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,bb_bbm_20,bb_bbh_20,bb_bbl_20,bb_bbw_20,bb_bbp_20,accDistIndexIndicator,forceIndexIndicator,mfi
48.3,48.31,48.49,48.2,8700,0.0,0.0,0.0,0.0,0.29,0.27,0.66,0.06,0.0,0.0,0.0,0.02,0.6,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.100000000000015,0.0,0.0
48.4,48.11,48.42,48.06,6025,0.0,0.0,0.0,0.0,-0.12,0.48,0.52,-0.23,0.0,0.0,0.0,-0.6,0.75,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000142,0.30000000000000426,-0.10000000000000142,0.8297033810412895,0.25,-6.451388888888996,0.0,0.0
48.18,48.08,48.2,47.92,3681,0.0,0.0,0.0,0.0,-0.19,0.02,0.06,-0.52,0.0,0.0,0.0,-0.21,0.58,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.49,0.0,0.0,0.0,0.086666666666666,0.2908452377481794,-0.11751190441484738,0.8478002951481526,0.28776747675429065,-5.92553174603196,0.0,0.0
48.07,47.95,48.15,47.93,6154,0.0,0.0,0.0,0.0,-0.46,-0.21,-0.04,-0.5,0.0,0.0,0.0,-0.25,0.46,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.4786,0.0,0.0,0.0,0.16249999999999432,0.4203274616870658,-0.09532746168707718,1.0717691314609363,0.18486677304137863,-10.960622655122688,0.0,0.0
48.06,48.13,48.13,47.85,5789,48.12,0.0,0.0,0.0,-0.08,-0.23,-0.08,-0.66,-0.1,0.0,0.0,0.15,0.58,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.467428,0.0,0.0,0.0,-0.014000000000002899,0.2170324652510942,-0.2450324652511,0.9603145118093653,0.5302987720465758,-5.171622655122688,0.0,0.0
48.0,48.21,48.29,47.99,7044,48.1,0.0,0.0,0.0,0.08,-0.35,0.25,-0.37,-0.15,0.0,0.0,0.44,0.62,-0.21,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.44273088,0.0,0.0,0.0,-0.07833333333333314,0.14390277734377577,-0.30056944401044206,0.9234507178660296,0.6762389854076081,-1.8844226551226433,0.0,0.0
48.27,48.09,48.27,48.02,4916,48.09,0.0,0.0,0.0,-0.17,0.21,0.21,-0.31,-0.17,0.0,0.0,-0.37,0.52,-0.04,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.4190216448,0.0,0.0,0.0,0.0357142857142847,0.24352110338249133,-0.17209253195392193,0.8635999309412529,0.41406854184325254,-4.047462655122632,0.0,0.0
48.14,48.16,48.2,47.99,6067,48.11,0.0,0.0,0.0,-0.02,-0.06,0.06,-0.37,-0.12,0.0,0.0,0.04,0.44,0.17,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.396260779007996,0.0,0.0,0.0,-0.02999999999999403,0.16570385790781472,-0.22570385790780279,0.8132302427085342,0.5766464195461244,-0.29170075036107984,0.0,0.0
48.15,47.93,48.2,47.93,7614,48.1,48.11,0.0,0.0,-0.5,-0.04,0.06,-0.5,-0.15,-0.12,0.0,-0.46,0.56,-0.04,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.37441034784768,0.0,0.0,0.0,0.17777777777778425,0.4010420014685607,-0.045486445912992224,0.928183483020527,0.10186684897619665,-7.90570075036108,0.0,0.0
47.99,48.06,48.13,47.9,4685,48.09,48.08,0.0,0.0,-0.23,-0.37,-0.08,-0.56,-0.17,-0.19,0.0,0.15,0.48,-0.15,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.35343393393377,0.0,0.0,0.0,0.04299999999999926,0.25673815756668006,-0.17073815756668154,0.8886687215628164,0.39940963165038895,-6.072439880795825,0.0,0.0
