index,DateTime,Open,Close,High,Low,Volume,Previous_Close
0,2018-02-21 09:30:00-05:00,67.2,67.2,67.25,67.19,1445,66.95
1,2018-02-21 09:30:05-05:00,67.22,67.26,67.26,67.2,25,66.95
2,2018-02-21 09:30:10-05:00,67.22,67.22,67.22,67.22,10,66.95
3,2018-02-21 09:30:15-05:00,67.19,67.19,67.19,67.18,60,66.95
4,2018-02-21 09:30:20-05:00,67.16,67.16,67.17,67.16,5,66.95
5,2018-02-21 09:30:25-05:00,67.16,67.16,67.17,67.16,0,66.95
6,2018-02-21 09:30:30-05:00,67.13,67.13,67.13,67.13,5,66.95
7,2018-02-21 09:30:35-05:00,67.1,67.23,67.23,67.07,149,66.95
8,2018-02-21 09:30:40-05:00,67.16,67.16,67.16,67.16,25,66.95
9,2018-02-21 09:30:45-05:00,67.16,67.16,67.16,67.16,0,66.95
10,2018-02-21 09:30:50-05:00,67.13,67.13,67.13,67.12,40,66.95
11,2018-02-21 09:30:55-05:00,67.14,67.15,67.15,67.13,65,66.95
12,2018-02-21 09:31:00-05:00,67.11,67.17,67.21,67.11,201,66.95
13,2018-02-21 09:31:05-05:00,67.17,67.19,67.19,67.16,32,66.95
14,2018-02-21 09:31:10-05:00,67.18,67.16,67.18,67.16,60,66.95
15,2018-02-21 09:31:15-05:00,67.16,67.16,67.17,67.16,5,66.95
16,2018-02-21 09:31:20-05:00,67.12,67.12,67.15,67.12,30,66.95
17,2018-02-21 09:31:25-05:00,67.2,67.17,67.2,67.14,40,66.95
18,2018-02-21 09:31:30-05:00,67.17,67.14,67.18,67.14,165,66.95
19,2018-02-21 09:31:35-05:00,67.14,67.14,67.14,67.14,0,66.95
20,2018-02-21 09:31:40-05:00,67.17,67.17,67.17,67.16,55,66.95
21,2018-02-21 09:31:45-05:00,67.17,67.17,67.17,67.16,0,66.95
22,2018-02-21 09:31:50-05:00,67.19,67.2,67.2,67.19,47,66.95
23,2018-02-21 09:31:55-05:00,67.26,67.23,67.26,67.23,42,66.95
24,2018-02-21 09:32:00-05:00,67.24,67.23,67.24,67.23,21,66.95
25,2018-02-21 09:32:05-05:00,67.23,67.23,67.23,67.23,0,66.95
26,2018-02-21 09:32:10-05:00,67.3,67.24,67.3,67.23,23,66.95
27,2018-02-21 09:32:15-05:00,67.24,67.24,67.24,67.23,0,66.95
28,2018-02-21 09:32:20-05:00,67.28,67.26,67.29,67.2,45,66.95
29,2018-02-21 09:32:25-05:00,67.23,67.28,67.28,67.22,55,66.95
30,2018-02-21 09:32:30-05:00,67.27,67.37,67.37,67.27,180,66.95
31,2018-02-21 09:32:35-05:00,67.35,67.35,67.35,67.34,46,66.95
32,2018-02-21 09:32:40-05:00,67.38,67.41,67.41,67.38,146,66.95
33,2018-02-21 09:32:45-05:00,67.39,67.44,67.44,67.39,146,66.95
34,2018-02-21 09:32:50-05:00,67.4,67.39,67.4,67.39,27,66.95
35,2018-02-21 09:32:55-05:00,67.41,67.44,67.44,67.41,55,66.95
36,2018-02-21 09:33:00-05:00,67.39,67.44,67.44,67.39,157,66.95
37,2018-02-21 09:33:05-05:00,67.42,67.42,67.42,67.42,25,66.95
38,2018-02-21 09:33:10-05:00,67.41,67.44,67.44,67.41,77,66.95
39,2018-02-21 09:33:15-05:00,67.42,67.4,67.42,67.4,20,66.95
40,2018-02-21 09:33:20-05:00,67.43,67.45,67.45,67.42,267,66.95
41,2018-02-21 09:33:25-05:00,67.43,67.41,67.44,67.4,226,66.95
42,2018-02-21 09:33:30-05:00,67.41,67.41,67.41,67.41,37,66.95
