Open,Close,High,Low,Volume,Previous_Close
574.37,570.0,574.8,569.83,9968,604.17
567.1,575.72,575.81,566.34,5037,604.17
575.71,582.74,583.34,575.38,5104,604.17
582.8,582.26,583.49,579.3,3797,604.17
582.03,578.96,582.59,574.9,2873,604.17
578.96,584.82,585.17,577.77,3858,604.17
584.85,584.65,585.21,581.12,2886,604.17
584.57,584.95,585.24,582.21,2307,604.17
585.17,587.56,588.67,584.64,3256,604.17
587.78,591.21,591.21,587.15,2493,604.17
590.72,589.03,593.7,588.8,3468,604.17
589.02,592.46,593.0,588.29,2091,604.17
592.78,594.22,595.0,592.3,2482,604.17
594.0,592.0,595.0,591.25,1910,604.17
591.81,596.0,596.33,591.67,2462,604.17
595.85,597.19,598.71,595.05,2623,604.17
597.01,595.31,597.88,594.5,2422,604.17
595.35,593.62,595.87,592.32,2400,604.17
593.73,594.3,595.15,593.62,1707,604.17
594.21,594.69,595.65,594.0,1428,604.17
594.77,599.05,599.66,593.77,2511,604.17
599.14,599.38,602.25,598.12,2765,604.17
599.74,599.62,600.31,598.7,1861,604.17
599.65,598.76,601.2,597.44,1713,604.17
598.8,599.51,600.05,597.05,1497,604.17
599.5,602.25,603.73,599.5,2338,604.17
602.23,603.87,604.37,601.29,1825,604.17
604.03,602.43,604.26,602.25,1675,604.17
602.5,606.87,607.06,601.85,2752,604.17
606.96,605.69,607.06,604.2,1962,604.17
605.55,602.84,607.0,602.14,2538,604.17
602.78,601.83,604.67,601.21,2071,604.17
601.69,604.58,604.65,600.52,1876,604.17
604.58,605.38,605.69,602.34,1770,604.17
605.19,602.54,605.6,602.03,1229,604.17
602.4,598.02,603.13,597.39,2523,604.17
597.83,600.92,601.76,597.72,1958,604.17
600.92,601.04,601.76,599.5,1414,604.17
601.02,602.43,603.32,600.5,1655,604.17
602.34,601.13,602.87,600.5,903,604.17
601.09,600.37,602.14,599.21,1178,604.17
600.25,600.66,602.58,599.64,1118,604.17
600.66,600.51,601.17,599.22,985,604.17
600.58,599.2,600.9,598.21,813,604.17
599.06,597.04,599.6,596.62,1774,604.17
596.98,595.42,597.66,594.38,2290,604.17
595.74,596.76,597.33,595.44,1623,604.17
596.86,599.75,599.88,596.86,1634,604.17
599.9,598.56,599.98,598.22,1062,604.17
