index,Open,Close,High,Low,Volume,Previous_Close,Volume_weighted_avg_price,Number_of_transactions
0,742.0,742.67,742.0,741.6101,4999,709.755,741.8892475695142,124
1,741.79,742.7,742.5178,741.79,693,709.755,742.1822767676766,15
2,742.0231,741.837,742.557,742.0231,756,709.755,742.476625925926,13
3,742.3,742.75,742.3,741.9,340,709.755,742.0126305882353,10
4,741.93,742.7268,741.93,741.93,464,709.755,741.9224568965517,2
5,742.4934,741.9763,742.4934,742.4934,111,709.755,742.4773675675676,3
6,742.87,741.9,743.0,742.3,2898,709.755,742.7769613871634,42
7,742.9974,743.48,743.24,742.76,1790,709.755,742.9485892737429,34
8,743.34,741.8848,743.42,743.1386,479,709.755,743.2699010438412,9
9,743.53,742.0,743.53,743.0912,211,709.755,743.3204739336493,4
10,742.0,743.26,742.0,742.0,100,709.755,742.0,1
11,743.21,741.49,743.34,743.21,753,709.755,743.2786147410358,6
12,741.49,743.2,741.49,741.49,169191,709.755,741.4905321796077,16
13,743.2,741.49,743.2,743.2,100,709.755,743.2,1
14,741.49,742.91,742.0,741.49,441,709.755,742.0,9
15,742.91,742.0,742.91,742.91,611,709.755,742.9093289689035,11
16,742.0,743.51,742.0,742.0,200,709.755,742.0,2
17,742.0,742.76,742.0,742.0,574,709.755,741.999756097561,3
18,742.76,741.86,742.76,742.4,803,709.755,742.5366127023661,13
19,742.76,742.0,742.76,742.76,100,709.755,742.76,1
20,742.0,742.8,742.69,741.8544,2659,709.755,742.2136530274541,50
21,742.8,741.6,742.8,742.24,2590,709.755,742.4917485714282,27
22,742.18,742.48,742.18,742.18,150,709.755,741.9866666666667,4
23,742.48,741.61,742.81,742.07,6035,709.755,742.3801143330572,99
24,741.6975,742.82,741.6975,741.49,1292,709.755,741.5747291021673,34
25,742.82,741.145,742.82,742.82,100,709.755,742.82,1
26,741.59,741.925,741.59,741.05,1423,709.755,741.4029749121573,36
27,741.925,742.71,742.56,741.2,11979,709.755,741.9183880123553,237
28,742.78,741.68,742.78,742.01,505,709.755,742.6054653465347,15
29,741.68,742.45,742.31,741.32,896,709.755,742.0371543526784,24
30,742.26,741.32,742.72,742.26,1641,709.755,742.4167641681901,46
31,741.32,742.56,741.32,741.32,100,709.755,741.32,1
32,742.8,741.49,742.86,742.0,9916,709.755,742.2365465409434,134
33,742.335,741.56,742.39,741.99,4694,709.755,742.20195185343,63
